,학교명,위해지표_score,경감지표_score,total_score,종합_위험도
286,충암고등학교,100,-60,43.95078900839908,위험
287,태릉고등학교,0,-20,39.620870077626556,위험
288,풍문고등학교,40,-20,13.712003905190665,매우안전
289,하나고등학교,100,-20,55.088069008399074,매우위험
290,한가람고등학교,100,-20,50.611229629046676,매우위험
291,한강미디어고등학교,100,-20,32.43367738152229,보통
292,한광고등학교,100,-20,56.438345731996776,매우위험
293,한국삼육고등학교,40,-20,38.78166913430498,위험
294,한서고등학교,100,-80,39.73242573199678,위험
295,한성고등학교,0,-60,4.443541241978512,매우안전
296,한성과학고등학교,0,-20,15.58082124197851,매우안전
297,한성여자고등학교,100,-80,27.20660173034028,보통
298,한세사이버보안고등학교,40,-40,15.99446764385263,매우안전
299,한양공업고등학교,80,-100,9.499497178166969,매우안전
300,한양대학교사범대학부속고등학교,40,-100,0.2626365998842246,매우안전
301,한영고등학교,100,-20,46.053152645628955,매우위험
302,한영외국어고등학교,100,-20,46.053152645628955,매우위험
303,해성국제컨벤션고등학교,0,-60,10.112091729561904,매우안전
304,해성여자고등학교,40,-60,20.66113172956191,안전
305,현대고등학교,100,-80,12.829643905190665,매우안전
306,혜성여자고등학교,100,-40,49.036589134304975,매우위험
307,혜원여자고등학교,80,-60,49.58167007762656,매우위험
308,혜화여자고등학교,100,-40,63.47810355150244,매우위험
309,홍익대학교사범대학부속고등학교,100,-40,38.343881730340286,위험
310,홍익대학교사범대학부속여자고등학교,0,-80,-5.691852356147372,매우안전
311,홍익디자인고등학교,100,-20,37.38666764385263,위험
312,화곡고등학교,100,-40,50.869705731996774,매우위험
313,화곡보건경영고등학교,40,-40,35.04614573199677,보통
314,환일고등학교,100,-60,25.91129717816697,안전
315,효문고등학교,40,-20,46.16174369002516,매우위험
316,휘경공업고등학교,40,-40,26.229771729561907,안전
317,휘경여자고등학교,100,-40,42.053331729561904,위험
318,휘문고등학교,40,-60,2.574723905190666,매우안전
319,휘봉고등학교,0,-40,15.680731729561902,매우안전
